sampleID,prob1,prob2,class1,class2
TCGA.A2.A3XS.BRCA.C2,0.8554069066372734,0.14458705755847517,2,1
TCGA.N8.A4PI.UCS.C4,0.5813387942062515,0.41866090486349217,4,1
TCGA.B0.4712.KIRC.C2,0.7511329740345634,0.2476822551215129,2,6
TCGA.DX.A6BF.SARC.C4,0.6594048529383725,0.34041881359114257,6,4
TCGA.US.A779.PAAD.C1,0.5870201529163034,0.40566938279143866,1,3
TCGA.A8.A06Q.BRCA.C4,0.8238126788194677,0.1760788533729793,4,1
TCGA.MQ.A4LJ.MESO.C1,0.8422624819542655,0.12389482798520565,1,3
TCGA.99.8033.LUAD.C1,0.7762902539706252,0.22370727076989655,2,1
TCGA.CC.A9FU.LIHC.C1,0.6249067716532555,0.36829042294711606,1,4
TCGA.DX.AB3B.SARC.C3,0.5931475497795348,0.406707219338934,3,1
TCGA.OL.A97C.BRCA.C1,0.8564666485584066,0.14352337345951813,1,3
TCGA.A2.A0CK.BRCA.C1,0.6028145281317008,0.3971471841388089,1,3
TCGA.AC.A2QH.BRCA.C4,0.9189196793438894,0.08108016386308103,1,4
TCGA.AA.3534.COAD.C1,0.524707610004418,0.4743441586166158,1,3
TCGA.AP.A05H.UCEC.C2,0.622886168226682,0.376709303227813,1,2
TCGA.BR.8364.STAD.C3,0.8232798761234719,0.17641157549907022,3,6
TCGA.BH.A0HK.BRCA.C1,0.7092895795861058,0.2906981947720592,3,1
TCGA.VR.A8Q7.ESCA.C1,0.5895879577717972,0.41041124118365974,1,2
TCGA.CN.4726.HNSC.C1,0.7849279035959011,0.1749653319819261,1,2
TCGA.2Y.A9H2.LIHC.C3,0.8822638225425835,0.11764272409110384,4,3
TCGA.SH.A9CU.MESO.C4,0.8211976056843798,0.16559472345521561,4,1
TCGA.G9.6377.PRAD.C1,0.7971880761386809,0.20090928620611395,3,1
TCGA.UD.AAC4.MESO.C1,0.8585817454357025,0.0865807416739095,1,4
TCGA.86.A4D0.LUAD.C2,0.8960617064479679,0.10380855819192546,1,2
TCGA.FR.A726.SKCM.C4,0.9022224622817859,0.09777736926477691,1,4
TCGA.MK.A4N6.THCA.C6,0.9174943581490239,0.051159777590626246,3,2
TCGA.5S.A9Q8.UCEC.C3,0.8592122378091884,0.13660148655736176,1,3
TCGA.DX.A3UF.SARC.C1,0.8495471418723946,0.11640113950931796,1,4
TCGA.Z7.A8R5.BRCA.C1,0.7489899160190169,0.24546274035763543,3,1
TCGA.OY.A56Q.OV.C4,0.507411004218004,0.4908961008241838,1,4
TCGA.AO.A0JC.BRCA.C2,0.8372605660555039,0.16272436122114636,2,3
TCGA.L5.A4ON.ESCA.C4,0.6121666537002163,0.36118166417040354,1,4
TCGA.SO.A8JP.TGCT.C1,0.765257000125873,0.23117175686103558,2,1
TCGA.A5.A0GW.UCEC.C1,0.7858144806938742,0.21418546890444892,2,1
TCGA.A6.2675.COAD.C2,0.6908518879721914,0.30909976534481653,2,1
TCGA.HT.7693.LGG.C5,0.7575259242196487,0.2424728323423347,5,4
TCGA.E9.A2JT.BRCA.C6,0.910693256727368,0.08927641942014955,3,2
TCGA.UD.AAC6.MESO.C4,0.8665851423569025,0.1166767987012679,1,4
TCGA.L9.A743.LUAD.C6,0.7648078568531476,0.19778184253953152,6,2
TCGA.FI.A2D2.UCEC.C4,0.8757419567749472,0.09620618775908286,2,4
TCGA.AN.A0FS.BRCA.C1,0.8871694131443859,0.1128200104337715,3,1
TCGA.GF.A769.SKCM.C4,0.896756322535308,0.10324213879260274,4,1
