"sampleID","subgroup1","subgroup2","prob1","prob2"
"TCGA.BT.A2LA","2","1","0.8843754529953003","0.09094959497451782"
"TCGA.C4.A0EZ","1","4","0.8770706653594971","0.1092265397310257"
"TCGA.CF.A9FM","4","3","0.6745671033859253","0.3125700056552887"
"TCGA.HQ.A2OF","4","3","0.8041067719459534","0.11868388950824738"
"TCGA.FF.8042","2","3","0.8807644844055176","0.11842253059148788"
"TCGA.G8.6906","2","3","0.8847012519836426","0.11476574093103409"
"TCGA.G8.6907","2","3","0.6891070008277893","0.3060781955718994"
"TCGA.GS.A9TT","2","3","0.8788148760795593","0.06050197407603264"
"TCGA.GS.A9TX","2","3","0.8444547057151794","0.15126247704029083"
"TCGA.FL.A1YF","3","1","0.8977072238922119","0.10193778574466705"
"TCGA.FL.A1YQ","3","1","0.600763201713562","0.39759838581085205"
"TCGA.FL.A3WE","1","3","0.8014606237411499","0.19519177079200745"
"TCGA.3N.A9WB","4","2","0.5851058959960938","0.41253936290740967"
"TCGA.D3.A1Q1","4","1","0.8833160400390625","0.09228647500276566"
"TCGA.D3.A1Q3","3","2","0.782787561416626","0.20103907585144043"
"TCGA.D3.A1Q5","1","3","0.7349260449409485","0.25624603033065796"
"TCGA.D3.A1Q6","4","2","0.826393187046051","0.1365874856710434"
"TCGA.D3.A1Q8","1","3","0.8916141390800476","0.07283736765384674"
"TCGA.D3.A1Q9","2","3","0.8897997140884399","0.08993373066186905"
"TCGA.D3.A2J9","3","2","0.864920437335968","0.13344481587409973"
"TCGA.D3.A2JE","4","1","0.8960062861442566","0.0923369899392128"
"TCGA.D3.A2JG","1","4","0.6466464400291443","0.2714030146598816"
"TCGA.D3.A2JK","3","1","0.8706673383712769","0.1113324835896492"
"TCGA.D3.A2JN","1","2","0.6558953523635864","0.26760151982307434"
"TCGA.D3.A2JP","2","3","0.8893973231315613","0.10319849103689194"
"TCGA.D3.A3C1","3","2","0.8575659394264221","0.0984933078289032"
"TCGA.D3.A3C6","2","4","0.6273524761199951","0.37264275550842285"
"TCGA.D3.A3C7","3","1","0.8561770915985107","0.07320300489664078"
"TCGA.D3.A3CB","2","3","0.8148194551467896","0.16057521104812622"
"TCGA.D3.A3CC","4","1","0.6517086625099182","0.28202831745147705"
"TCGA.D3.A3CE","2","3","0.8191083073616028","0.1782398670911789"
"TCGA.D3.A3ML","4","2","0.8749567270278931","0.09359253942966461"
"TCGA.D3.A3MO","4","1","0.6690208315849304","0.3280421495437622"
"TCGA.D3.A51G","1","2","0.9148674607276917","0.07000444829463959"
